filename,size paramter of equivalent volume sphere,wavelength (m),extinction efficiency,scattering efficiency,average geometrical cross section (m^2),volume (m^3),maximum distance from the center of mass (m),single scattering albedo,asymmetry factor
MTC_vo_11000_000542_fd,3.09707E+00,1.10000E-05,1.10543E+00,2.87005E-01,1.28968E-10,6.65270E-16,9.97901E-06,2.59631E-01,8.08160E-01
MTC_vo_11000_000279_fd,1.59555E+00,1.10000E-05,6.81325E-01,9.20370E-02,3.42248E-11,9.09485E-17,5.07704E-06,1.35085E-01,5.44343E-01
MTC_vo_11000_001041_fd,5.94345E+00,1.10000E-05,1.52382E+00,5.65937E-01,4.75037E-10,4.70272E-15,1.90827E-05,3.71394E-01,9.17631E-01
MTC_vo_11000_071617_g1,4.09075E+02,1.10000E-05,1.99650E+00,1.02075E+00,3.79500E-06,1.53860E-09,2.56600E-03,5.11268E-01,9.79399E-01
MTC_vo_11000_000750_fd,4.28570E+00,1.10000E-05,1.32338E+00,4.21839E-01,2.46977E-10,1.76301E-15,1.36555E-05,3.18758E-01,8.77872E-01
MTC_vo_09450_051633_g1,3.43303E+02,9.45000E-06,2.01891E+00,1.02769E+00,1.97140E-06,5.76590E-10,1.85000E-03,5.09031E-01,9.84160E-01
MTC_vo_09450_012061_g2,8.01903E+01,9.45000E-06,2.05387E+00,1.06640E+00,7.84100E-08,7.34850E-12,2.81100E-04,5.19216E-01,9.61803E-01
MTC_vo_09450_009333_g2,6.20522E+01,9.45000E-06,2.05684E+00,1.06535E+00,4.04210E-08,3.40490E-12,1.87300E-04,5.17956E-01,9.59266E-01
MTC_vo_09450_000279_fd,1.85726E+00,9.45000E-06,3.21438E-01,1.76478E-01,3.42252E-11,9.09485E-17,5.11365E-06,5.49025E-01,6.18509E-01
MTC_vo_09450_000542_fd,3.60502E+00,9.45000E-06,1.01740E+00,7.26036E-01,1.28964E-10,6.65255E-16,9.92649E-06,7.13622E-01,8.34416E-01
MTC_vo_09450_001041_fd,6.91832E+00,9.45000E-06,2.14670E+00,1.63598E+00,4.75007E-10,4.70275E-15,1.89506E-05,7.62088E-01,9.16670E-01
MTC_vo_09450_000750_fd,4.98864E+00,9.45000E-06,1.58480E+00,1.19169E+00,2.46982E-10,1.76300E-15,1.36865E-05,7.51946E-01,8.88409E-01
MTC_vo_09450_071617_g1,4.76172E+02,9.45000E-06,2.01520E+00,1.02597E+00,3.79270E-06,1.53860E-09,2.56600E-03,5.09117E-01,9.84790E-01
MTC_vo_09450_018632_g2,1.23885E+02,9.45000E-06,2.03866E+00,1.04709E+00,2.28150E-07,2.70950E-11,5.93300E-04,5.13619E-01,9.64493E-01
MTC_vo_09450_020201_g2,1.34315E+02,9.45000E-06,2.03565E+00,1.04850E+00,3.01920E-07,3.45310E-11,7.23800E-04,5.15068E-01,9.64253E-01
MTC_vo_09450_000203_fd,1.34747E+00,9.45000E-06,1.81956E-01,7.62659E-02,1.80137E-11,3.47288E-17,3.76004E-06,4.19145E-01,4.18876E-01
MTC_vo_09450_000104_fd,6.91991E-01,9.45000E-06,6.10809E-02,8.86577E-03,4.75007E-12,4.70275E-18,1.95522E-06,1.45148E-01,1.21475E-01
MTC_vo_09450_003883_g2,2.58200E+01,9.45000E-06,2.11389E+00,1.17187E+00,6.49220E-09,2.45300E-13,7.03010E-05,5.54365E-01,9.37880E-01
MTC_vo_09450_000055_fd,3.64228E-01,9.45000E-06,2.75024E-02,7.93411E-04,1.31070E-12,6.85621E-19,1.05281E-06,2.88488E-02,6.10842E-02
MTC_vo_09450_001440_fd,9.57614E+00,9.45000E-06,2.38042E+00,1.74715E+00,9.10301E-10,1.24728E-14,2.63202E-05,7.33968E-01,9.27635E-01
MTC_vo_09450_016612_g2,1.10448E+02,9.45000E-06,2.03985E+00,1.04910E+00,1.74030E-07,1.92000E-11,4.69800E-04,5.14299E-01,9.64352E-01
MTC_vo_09450_000077_fd,5.09900E-01,9.45000E-06,4.08107E-02,2.88667E-03,2.57584E-12,1.88133E-18,1.35361E-06,7.07333E-02,7.47445E-02
MTC_vo_09450_037232_g1,2.47549E+02,9.45000E-06,2.02352E+00,1.03097E+00,1.02510E-06,2.16180E-10,1.33400E-03,5.09496E-01,9.83187E-01
MTC_vo_09450_005938_g2,3.94823E+01,9.45000E-06,2.05525E+00,1.07624E+00,1.52040E-08,8.77080E-13,1.07500E-04,5.23652E-01,9.54881E-01
MTC_vo_09450_005380_g2,3.57731E+01,9.45000E-06,2.04693E+00,1.07406E+00,1.24810E-08,6.52380E-13,9.74000E-05,5.24717E-01,9.50971E-01
MTC_vo_09450_001999_fd,1.32896E+01,9.45000E-06,2.33461E+00,1.58007E+00,1.75362E-09,3.33400E-14,3.65475E-05,6.76801E-01,9.33174E-01
MTC_vo_09450_000148_fd,9.83320E-01,9.45000E-06,1.05294E-01,2.98885E-02,9.59246E-12,1.34952E-17,2.70723E-06,2.83856E-01,2.38926E-01
MTC_vo_09450_000389_fd,2.58552E+00,9.45000E-06,5.86709E-01,3.84225E-01,6.63321E-11,2.45395E-16,7.06887E-06,6.54882E-01,7.42497E-01
MTC_vo_09450_002776_fd,1.84592E+01,9.45000E-06,2.22948E+00,1.37488E+00,3.38890E-09,8.93547E-14,5.06853E-05,6.16680E-01,9.43810E-01
MTC_vo_09450_014360_g2,9.54794E+01,9.45000E-06,2.04271E+00,1.05138E+00,1.15670E-07,1.24040E-11,3.54200E-04,5.14697E-01,9.63193E-01
MTC_vo_09450_027910_g1,1.85569E+02,9.45000E-06,2.02850E+00,1.03644E+00,5.76030E-07,9.10640E-11,1.00000E-03,5.10942E-01,9.81838E-01
MTC_vo_00520_000055_fd,6.61918E+00,5.20000E-07,2.73832E+00,2.73832E+00,1.31472E-12,6.85636E-19,1.00140E-06,1.00000E+00,8.64234E-01
MTC_vo_00520_014360_g1,1.73515E+03,5.20000E-07,2.00698E+00,2.00682E+00,1.15390E-07,1.24040E-11,3.54200E-04,9.99917E-01,7.39059E-01
MTC_vo_00520_000392_g2,4.73901E+01,5.20000E-07,2.07710E+00,2.07703E+00,6.62590E-11,2.52700E-16,7.10000E-06,9.99968E-01,7.66895E-01
MTC_vo_00520_005380_g1,6.50107E+02,5.20000E-07,2.01344E+00,2.01329E+00,1.25050E-08,6.52380E-13,9.74000E-05,9.99928E-01,7.61303E-01
MTC_vo_00520_002016_g2,2.43623E+02,5.20000E-07,2.02840E+00,2.02829E+00,1.75230E-09,3.43320E-14,3.65000E-05,9.99950E-01,7.42085E-01
MTC_vo_00520_005938_g1,7.17520E+02,5.20000E-07,2.01258E+00,2.01244E+00,1.52320E-08,8.77100E-13,1.07500E-04,9.99927E-01,7.61331E-01
MTC_vo_00520_000203_fd,2.44877E+01,5.20000E-07,2.06210E+00,2.06210E+00,1.80476E-11,3.47293E-17,3.69940E-06,1.00000E+00,7.62749E-01
MTC_vo_00520_000104_fd,1.25758E+01,5.20000E-07,2.39427E+00,2.39427E+00,4.74621E-12,4.70295E-18,1.90349E-06,1.00000E+00,8.03210E-01
MTC_vo_00520_071617_g1,8.65350E+03,5.20000E-07,2.00239E+00,2.00192E+00,3.79560E-06,1.53860E-09,2.56600E-03,9.99763E-01,7.22417E-01
MTC_vo_00520_000757_g2,9.14431E+01,5.20000E-07,2.04149E+00,2.04139E+00,2.46660E-10,1.81550E-15,1.37000E-05,9.99953E-01,7.37797E-01
MTC_vo_00520_000279_fd,3.37522E+01,5.20000E-07,2.09286E+00,2.09286E+00,3.43004E-11,9.09496E-17,5.09805E-06,1.00000E+00,7.64551E-01
MTC_vo_00520_051633_g1,6.23887E+03,5.20000E-07,2.00298E+00,2.00251E+00,1.97290E-06,5.76590E-10,1.85000E-03,9.99768E-01,7.22375E-01
MTC_vo_00520_000148_fd,1.78700E+01,5.20000E-07,2.27538E+00,2.27538E+00,9.59999E-12,1.34953E-17,2.69799E-06,1.00000E+00,7.87054E-01
MTC_vo_00520_027910_g1,3.37235E+03,5.20000E-07,2.00448E+00,2.00403E+00,5.76460E-07,9.10640E-11,1.00000E-03,9.99775E-01,7.22269E-01
MTC_vo_00520_000547_g2,6.60784E+01,5.20000E-07,2.05608E+00,2.05600E+00,1.28820E-10,6.85050E-16,9.90000E-06,9.99964E-01,7.50573E-01
MTC_vo_00520_001050_g2,1.26817E+02,5.20000E-07,2.04166E+00,2.04151E+00,4.74410E-10,4.84260E-15,1.90000E-05,9.99929E-01,7.34978E-01
MTC_vo_00520_003883_g1,4.69222E+02,5.20000E-07,2.01670E+00,2.01656E+00,6.51420E-09,2.45290E-13,7.03000E-05,9.99931E-01,7.61187E-01
MTC_vo_00520_016611_g1,2.00717E+03,5.20000E-07,2.00634E+00,2.00611E+00,1.74220E-07,1.92000E-11,4.69800E-04,9.99886E-01,7.30607E-01
MTC_vo_00520_037232_g1,4.49872E+03,5.20000E-07,2.00370E+00,2.00325E+00,1.02580E-06,2.16180E-10,1.33400E-03,9.99774E-01,7.22406E-01
MTC_vo_00520_018632_g1,2.25137E+03,5.20000E-07,2.00587E+00,2.00552E+00,2.27770E-07,2.70950E-11,5.93300E-04,9.99826E-01,7.23804E-01
MTC_vo_00520_020201_g1,2.44092E+03,5.20000E-07,2.00556E+00,2.00510E+00,3.02000E-07,3.45310E-11,7.23800E-04,9.99771E-01,7.22383E-01
MTC_vo_00520_000077_fd,9.26649E+00,5.20000E-07,2.64281E+00,2.64281E+00,2.57712E-12,1.88135E-18,1.39865E-06,1.00000E+00,8.33638E-01
MTC_vo_00520_002801_g1,3.38402E+02,5.20000E-07,2.02077E+00,2.02066E+00,3.38800E-09,9.20120E-14,5.07000E-05,9.99945E-01,7.61405E-01
MTC_vo_00520_012061_g1,1.45731E+03,5.20000E-07,2.00785E+00,2.00770E+00,7.86110E-08,7.34850E-12,2.81100E-04,9.99928E-01,7.41905E-01
MTC_vo_00520_001453_g2,1.75544E+02,5.20000E-07,2.02631E+00,2.02622E+00,9.09780E-10,1.28440E-14,2.63000E-05,9.99956E-01,7.39662E-01
MTC_vo_00520_009333_g1,1.12768E+03,5.20000E-07,2.00931E+00,2.00926E+00,4.04360E-08,3.40490E-12,1.87300E-04,9.99974E-01,7.46079E-01
MSC_vo_02248_m01_fd_0020,5.66041E+00,2.24750E-06,2.02396E+00,2.02083E+00,1.79649E-11,3.46324E-17,3.68432E-06,9.98457E-01,8.81911E-01
MSC_vo_02248_m02_g2_0932,2.60620E+02,2.24750E-06,2.02962E+00,1.89621E+00,4.03100E-08,3.39360E-12,1.87290E-04,9.34270E-01,8.09900E-01
MSC_vo_02248_m01_fd_0010,2.91016E+00,2.24750E-06,6.18894E-01,6.17429E-01,4.74797E-12,4.70550E-18,1.89581E-06,9.97634E-01,7.67700E-01
MSC_vo_02248_m01_fd_0028,7.79777E+00,2.24750E-06,2.64957E+00,2.64514E+00,3.40957E-11,9.05509E-17,5.11512E-06,9.98328E-01,8.93527E-01
MSC_vo_02248_m02_g2_0538,1.50440E+02,2.24750E-06,2.04764E+00,1.96110E+00,1.24990E-08,6.52720E-13,9.74020E-05,9.57740E-01,8.14200E-01
MSC_vo_02248_m01_fd_0075,2.09755E+01,2.24750E-06,2.25679E+00,2.24435E+00,2.47312E-10,1.76298E-15,1.36999E-05,9.94487E-01,8.33626E-01
MSC_vo_02248_m03_g1_2020,5.64593E+02,2.24750E-06,2.01757E+00,1.84381E+00,3.02810E-07,3.45020E-11,7.23800E-04,9.13874E-01,8.01000E-01
MSC_vo_02248_m02_g2_1435,4.01157E+02,2.24750E-06,2.02237E+00,1.85706E+00,1.15470E-07,1.23760E-11,3.54200E-04,9.18261E-01,8.11000E-01
MSC_vo_02248_m02_g2_0388,1.08563E+02,2.24750E-06,2.04275E+00,1.97905E+00,6.50910E-09,2.45290E-13,7.02880E-05,9.68818E-01,8.10300E-01
MSC_vo_02248_m01_fd_0005,1.53113E+00,2.24750E-06,1.22223E-01,1.21547E-01,1.31414E-12,6.85179E-19,1.00156E-06,9.94468E-01,4.98928E-01
MSC_vo_02248_m02_g2_0594,1.66020E+02,2.24750E-06,2.04624E+00,1.95147E+00,1.52220E-08,8.77240E-13,1.07490E-04,9.53686E-01,8.15400E-01
MSC_vo_02248_m01_fd_0015,4.13658E+00,2.24750E-06,1.25582E+00,1.25363E+00,9.59370E-12,1.35152E-17,2.68276E-06,9.98253E-01,8.48822E-01
MSC_vo_02248_m03_g1_2790,7.80038E+02,2.24750E-06,2.01417E+00,1.78676E+00,5.78000E-07,9.09880E-11,1.00000E-03,8.87094E-01,8.13500E-01
MSC_vo_02248_m03_g1_7160,2.00158E+03,2.24750E-06,2.00756E+00,1.55756E+00,3.80580E-06,1.53730E-09,2.56600E-03,7.75847E-01,8.67500E-01
MSC_vo_02248_m02_g2_0280,7.82867E+01,2.24750E-06,2.05880E+00,2.01227E+00,3.38480E-09,9.19810E-14,5.06860E-05,9.77402E-01,8.10600E-01
MSC_vo_02248_m01_fd_0104,2.91018E+01,2.24750E-06,2.04055E+00,2.02321E+00,4.76433E-10,4.70881E-15,1.89939E-05,9.91501E-01,8.11188E-01
